City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
hermanus,-34.4187,19.2345,51.13,57,0,4.85,ZA,1689133924
puerto natales,-51.7236,-72.4875,24.75,91,34,2.86,CL,1689133924
rio grande,-32.035,-52.0986,57.94,73,3,14.47,BR,1689133925
atafu village,-8.5421,-172.5159,83.84,72,79,15.05,TK,1689133925
port-aux-francais,-49.35,70.2167,39.4,93,100,33.33,TF,1689133925
lebu,-37.6167,-73.65,47.59,80,98,13.53,CL,1689133891
ushuaia,-54.8,-68.3,31.66,86,20,2.3,AR,1689133872
ta`u,-14.2336,-169.5144,81.93,77,100,14.32,AS,1689133925
waitangi,-43.9535,-176.5597,48.81,80,0,5.01,NZ,1689133925
sao jose da coroa grande,-8.8978,-35.1478,75.43,81,29,9.19,BR,1689133926
sechura,-5.5569,-80.8222,72.84,75,10,14.43,PE,1689133926
carnarvon,-24.8667,113.6333,70.47,36,0,4.59,AU,1689133926
kone,-21.0595,164.8658,75.2,43,3,14.07,NC,1689133927
grytviken,-54.2811,-36.5092,21.34,85,21,8.05,GS,1689133927
fale old settlement,-9.3852,-171.2468,83.59,75,100,14.88,TK,1689133927
adamstown,-25.066,-130.1015,70.03,59,97,0.98,PN,1689133928
bredasdorp,-34.5322,20.0403,43.41,78,0,3.0,ZA,1689133928
blackmans bay,-43.0167,147.3167,59.25,66,100,8.5,AU,1689133929
bowen,-20.0167,148.2333,73.22,61,99,18.37,AU,1689133929
pisco,-13.7,-76.2167,68.05,77,100,2.3,PE,1689133929
mata-utu,-13.2816,-176.1745,82.49,78,44,13.94,WF,1689133929
margaret river,-33.95,115.0667,63.93,73,95,20.71,AU,1689133930
edinburgh of the seven seas,-37.0676,-12.3116,58.48,91,92,9.31,SH,1689133930
namibe,-15.1961,12.1522,68.79,37,0,5.7,AO,1689133930
touros,-5.1989,-35.4608,73.78,89,1,11.25,BR,1689133932
avarua,-21.2078,-159.775,78.85,78,13,9.22,CK,1689133993
port mathurin,-19.6833,63.4167,75.27,73,47,15.79,MU,1689133994
guarapari,-20.6667,-40.4975,71.89,82,3,6.69,BR,1689133994
port elizabeth,-33.918,25.5701,41.29,93,0,2.3,ZA,1689133994
mbanza-ngungu,-5.25,14.8667,64.42,83,9,3.74,CD,1689133995
invercargill,-46.4,168.35,41.92,74,100,19.89,NZ,1689133995
new norfolk,-42.7826,147.0587,59.23,65,99,10.49,AU,1689133995
valparaiso,-33.0393,-71.6273,59.0,61,100,4.61,CL,1689133740
durban,-29.8579,31.0292,54.52,64,14,7.09,ZA,1689133978
kununurra,-15.7667,128.7333,84.18,26,8,14.97,AU,1689133997
padang,-0.9492,100.3543,86.05,82,37,2.57,ID,1689133998
coquimbo,-29.9533,-71.3436,56.93,100,75,2.3,CL,1689133998
west island,-12.1568,96.8225,80.58,78,75,20.71,CC,1689133998
papatowai,-46.5619,169.4708,40.6,78,99,21.94,NZ,1689133998
east london,-33.0153,27.9116,50.94,71,0,6.91,ZA,1689133832
puerto baquerizo moreno,-0.9,-89.6,77.0,84,78,11.56,EC,1689133999
rio gallegos,-51.6226,-69.2181,32.05,93,100,2.3,AR,1689134000
acarau,-2.8856,-40.12,76.89,85,0,14.54,BR,1689134000
kruisfontein,-34.0033,24.7314,47.19,56,0,5.14,ZA,1689134001
tolanaro,-25.0319,46.9987,68.07,68,75,17.27,MG,1689134063
carahue,-38.7,-73.1667,42.19,97,100,1.88,CL,1689134064
port alfred,-33.5906,26.891,54.37,61,0,5.64,ZA,1689134064
minas de marcona,-15.2119,-75.1103,54.09,90,78,14.18,PE,1689134065
south hedland,-20.4089,118.5983,84.13,28,2,16.11,AU,1689134066
tsiombe,-25.3,45.4833,62.01,61,44,9.8,MG,1689134066
mohale's hoek,-30.1514,27.4769,35.51,54,0,1.5,LS,1689134067
buala,-8.145,159.5921,82.85,70,96,14.76,SB,1689134067
port lincoln,-34.7333,135.8667,62.31,51,28,15.05,AU,1689134069
puerto ayora,-0.7393,-90.3518,77.56,92,90,5.99,EC,1689134070
uturoa,-16.7333,-151.4333,79.95,72,6,20.96,PF,1689134071
mount isa,-20.7333,139.5,78.57,44,0,3.44,AU,1689134071
geraldton,-28.7667,114.6,64.81,63,0,4.61,AU,1689134071
alice springs,-23.7,133.8833,63.95,34,0,15.32,AU,1689134112
igarape acu,-1.1289,-47.62,71.55,98,9,2.24,BR,1689134134
pacocha,-17.5833,-71.3333,61.05,88,99,5.75,PE,1689134135
afaahiti,-17.75,-149.2833,80.47,79,55,19.51,PF,1689134135
mahebourg,-20.4081,57.7,68.29,94,40,3.44,MU,1689134135
santo antonio do ica,-3.1022,-67.9397,75.97,85,47,1.25,BR,1689134136
ancud,-41.8697,-73.8203,38.35,82,18,4.9,CL,1689134136
flying fish cove,-10.4217,105.6791,78.48,78,75,17.27,CX,1689134136
caleta de carquin,-11.0925,-77.6267,67.89,81,31,12.66,PE,1689134136
hithadhoo,-0.6,73.0833,82.33,71,100,4.05,MV,1689134137
port saint john's,-31.6229,29.5448,55.53,65,4,5.21,ZA,1689134137
chonchi,-42.6128,-73.8092,37.11,88,26,1.12,CL,1689134137
pangai,-19.8,-174.35,73.51,88,100,13.8,TO,1689133939
lorengau,-2.0226,147.2712,77.81,89,100,7.27,PG,1689134138
codrington,-38.2667,141.9667,59.25,63,74,15.05,AU,1689134138
antsiranana,-12.2787,49.2917,74.16,68,75,0.0,MG,1689134139
isangel,-19.55,169.2667,73.51,78,75,4.61,VU,1689134139
glencoe,-28.1783,30.147,36.41,90,0,1.95,ZA,1689134139
karratha,-20.7377,116.8463,79.61,29,1,14.92,AU,1689134201
suva,-18.1416,178.4415,76.48,65,75,8.05,FJ,1689133997
antofagasta,-23.65,-70.4,61.88,84,45,3.58,CL,1689134164
kimbe,-5.5502,150.1429,87.71,58,95,11.32,PG,1689134203
sungailiat,-1.85,106.1333,85.59,63,13,10.69,ID,1689134203
kerikeri,-35.2268,173.9474,62.91,77,35,1.99,NZ,1689133934
sarmiento,-45.5882,-69.07,32.88,78,53,5.48,AR,1689134203
queenstown,-31.8976,26.8753,39.11,67,0,3.47,ZA,1689134204
forster,-32.1667,152.5167,65.28,61,0,7.02,AU,1689134204
canto do buriti,-8.11,-42.9444,73.26,57,0,4.03,BR,1689134205
salto del guaira,-24.0625,-54.3069,68.05,61,35,6.49,PY,1689134205
almeirim,-1.5233,-52.5817,73.63,89,11,3.02,BR,1689134205
augusto correa,-1.0217,-46.635,73.67,95,7,1.36,BR,1689134205
saint-joseph,-21.3667,55.6167,68.38,64,22,1.25,RE,1689134206
punta arenas,-53.15,-70.9167,30.31,86,100,5.75,CL,1689134170
sao vicente,-23.9631,-46.3919,70.99,26,61,2.26,BR,1689134207
tsaratanana,-16.7833,47.65,67.71,70,1,5.32,MG,1689134269
kasungu,-13.0333,33.4833,51.6,77,86,7.74,MW,1689134269
nelson bay,-32.7167,152.15,66.25,62,0,1.99,AU,1689134270
porto belo,-27.1578,-48.5531,61.79,97,100,5.5,BR,1689134222
yurimaguas,-5.9,-76.0833,78.98,70,95,1.57,PE,1689134271
andergrove,-21.0833,149.1833,71.65,62,100,15.66,AU,1689134165
dalby,-27.1833,151.2667,68.45,38,2,11.63,AU,1689134272
kimberley,-28.7323,24.7623,28.09,86,0,3.44,ZA,1689134273
toliara,-23.35,43.6667,66.29,59,92,18.57,MG,1689134273
ngorongoro,-3.2397,35.4875,48.38,93,81,6.67,TZ,1689134273
tual,-5.6667,132.75,80.01,85,73,22.3,ID,1689134274
mount gambier,-37.8333,140.7667,58.86,66,76,10.89,AU,1689134274
chilecito,-29.1619,-67.4974,46.67,86,99,7.31,AR,1689134275
gizo,-8.103,156.8419,82.04,76,98,21.25,SB,1689134276
colac,-38.3333,143.5833,59.16,58,34,12.17,AU,1689134337
cururupu,-1.8283,-44.8683,73.63,94,21,1.41,BR,1689134338
rundu,-17.9333,19.7667,37.81,77,0,7.47,,1689134340
cidreira,-30.1811,-50.2056,60.58,91,100,17.87,BR,1689134340
nadi,-17.8,177.4167,80.6,65,20,12.66,FJ,1689134078
kroya,-7.6331,109.2461,81.61,63,60,11.99,ID,1689134340
constitucion,-35.3333,-72.4167,54.99,93,100,18.66,CL,1689134340
kindu,-2.95,25.95,70.61,79,43,2.3,CD,1689134341
aripuana,-9.1667,-60.6333,72.07,55,0,0.63,BR,1689134341
tacna,-18.0056,-70.2483,55.6,94,100,5.75,PE,1689134341
maintirano,-18.0667,44.0167,72.79,77,48,11.39,MG,1689134341
sola,-13.8833,167.55,81.27,65,75,13.8,VU,1689134342
arraial do cabo,-22.9661,-42.0278,70.57,87,53,1.54,BR,1689134342
piton saint-leu,-21.2196,55.3151,65.25,56,0,10.36,RE,1689134342
neiafu,-18.65,-173.9833,75.88,94,100,5.75,TO,1689134343
el calafate,-50.3408,-72.2768,19.26,78,5,2.37,AR,1689134343
esquel,-42.9,-71.3167,34.43,87,98,1.34,AR,1689134344
east ballina,-28.8667,153.5833,64.8,64,45,9.6,AU,1689134117
port shepstone,-30.7414,30.455,51.44,70,4,5.91,ZA,1689134407
santa cruz,-17.8,-63.1667,74.66,94,20,18.41,BO,1689134345
benjamin constant,-4.3831,-70.0311,75.33,82,69,0.69,BR,1689134418
grajau,-5.8194,-46.1386,73.09,75,6,2.57,BR,1689134418
torata,-17.0769,-70.8433,55.69,39,52,7.31,PE,1689134430
prado,-17.3411,-39.2208,68.22,94,3,5.73,BR,1689134440
malango,-2.9627,119.9001,82.85,70,92,4.18,ID,1689134443
imbituba,-28.24,-48.6703,65.86,100,100,2.75,BR,1689134444
soio,-6.1349,12.3689,71.2,87,91,6.11,AO,1689134445
chinchilla,-26.75,150.6333,69.22,38,7,9.42,AU,1689134445
el alto,-4.2714,-81.2147,71.38,77,91,21.47,PE,1689134447
popondetta,-8.7537,148.2534,86.63,59,56,6.51,PG,1689134447
curuzu cuatia,-29.7917,-58.0546,55.9,88,97,12.17,AR,1689134448
walvis bay,-22.9575,14.5053,65.35,27,0,16.11,,1689134509
dunedin,-45.8742,170.5036,41.81,73,90,5.99,NZ,1689134493
monteiro,-7.8894,-37.12,63.93,94,1,5.37,BR,1689134510
luderitz,-26.6481,15.1594,64.56,30,0,27.81,,1689134510
san antonio de pale,-1.4014,5.6325,73.92,85,100,9.66,GQ,1689134487
colesberg,-30.72,25.0972,38.68,54,0,1.54,ZA,1689134512
puerto deseado,-47.7503,-65.8938,32.63,78,2,5.23,AR,1689134512
aguas vermelhas,-15.7472,-41.46,59.97,84,20,1.99,BR,1689134512
betioky,-23.7167,44.3833,60.58,62,42,12.46,MG,1689134512
santa isabel,-23.3156,-46.2214,65.5,88,11,2.37,BR,1689134513
west wodonga,-36.1257,146.8486,58.55,100,60,2.77,AU,1689134513
port macquarie,-31.4333,152.9167,67.89,59,19,5.37,AU,1689134514
saint-pierre,-21.3393,55.4781,69.48,56,0,10.36,RE,1689134514
greymouth,-42.4667,171.2,49.26,66,99,20.85,NZ,1689134514
oamaru,-45.0784,170.9801,49.37,48,7,19.86,NZ,1689134514
poli,-3.3333,36.8,57.97,94,75,11.5,TZ,1689134514
pagar alam,-4.0167,103.2667,82.17,60,22,4.23,ID,1689134515
termas de rio hondo,-27.4998,-64.8604,57.4,93,100,5.32,AR,1689134515
iquitos,-3.7481,-73.2472,75.24,88,0,1.14,PE,1689134578
mazagao,-0.115,-51.2894,77.05,95,3,2.59,BR,1689134578
callao,-12.0667,-77.15,70.09,73,100,14.97,PE,1689134416
muhoroni,-0.1541,35.1988,60.12,79,26,3.98,KE,1689134579
quatre cocos,-20.2078,57.7625,70.09,76,2,3.47,MU,1689134580
posto fiscal rolim de moura,-13.0833,-62.2667,72.54,49,4,2.51,BR,1689134581
bocaiuva,-17.1078,-43.815,69.51,44,82,2.42,BR,1689134564
arroyo seco,-33.1549,-60.5086,49.21,10,100,11.59,AR,1689134582
armacao de buzios,-22.7469,-41.8817,71.65,89,11,3.49,BR,1689134583
